                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.0019,                0.68011,                0.94776,                0.66868,                 0.4466,                0.61352,                0.35897,                 1.9134,                    inf,                 1.4941,               0.004951,               0.004951,               0.004951
                     53,                0.99466,                0.67307,                0.94505,                0.62908,                0.44856,                0.60076,                0.34995,                 1.9137,                    inf,                 1.4912,               0.004852,               0.004852,               0.004852
                     54,                0.99663,                0.67493,                0.94677,                0.67442,                0.44516,                0.61391,                0.35809,                  1.924,                    inf,                 1.4979,               0.004753,               0.004753,               0.004753
                     55,                0.98835,                0.67061,                  0.942,                0.66668,                0.44261,                0.61085,                0.35656,                 1.9188,                    inf,                 1.4992,               0.004654,               0.004654,               0.004654
                     56,                0.98947,                0.67013,                0.94334,                0.64759,                0.44227,                0.60468,                0.35153,                 1.9215,                    inf,                 1.4994,               0.004555,               0.004555,               0.004555
                     57,                0.98455,                0.66784,                0.94167,                0.66926,                0.44431,                0.61181,                0.35713,                 1.9172,                    inf,                 1.4991,               0.004456,               0.004456,               0.004456
                     58,                0.97925,                0.66763,                0.94311,                0.62123,                0.44389,                0.59535,                0.34603,                  1.921,                    inf,                 1.5004,               0.004357,               0.004357,               0.004357
                     59,                0.98629,                0.66742,                0.94453,                0.64057,                0.43967,                0.59894,                0.34862,                  1.921,                    inf,                 1.5042,               0.004258,               0.004258,               0.004258
                     60,                0.98626,                0.66893,                0.94233,                  0.601,                0.44739,                0.59164,                0.34197,                 1.9219,                    inf,                 1.4996,               0.004159,               0.004159,               0.004159
                     61,                0.98249,                0.66519,                0.94501,                0.62842,                0.43324,                0.59315,                0.34479,                 1.9222,                    inf,                 1.5031,                0.00406,                0.00406,                0.00406
                     62,                 0.9842,                0.66377,                0.94302,                0.58376,                0.43878,                0.57988,                0.33497,                 1.9272,                    inf,                 1.5099,               0.003961,               0.003961,               0.003961
                     63,                0.97611,                 0.6592,                0.94002,                0.59312,                0.43811,                0.58293,                0.33813,                 1.9179,                    inf,                 1.5018,               0.003862,               0.003862,               0.003862
                     64,                0.97939,                0.66106,                0.94033,                0.59506,                0.43948,                0.58534,                0.33952,                 1.9168,                    inf,                 1.4991,               0.003763,               0.003763,               0.003763
                     65,                0.97939,                0.65821,                0.94146,                0.59404,                0.43205,                 0.5803,                0.33725,                 1.9193,                    inf,                 1.4998,               0.003664,               0.003664,               0.003664
                     66,                0.97316,                0.65593,                0.93814,                0.60016,                0.42953,                0.58073,                0.33833,                 1.9155,                    inf,                 1.4982,               0.003565,               0.003565,               0.003565
                     67,                0.97271,                0.65701,                0.93795,                0.59559,                0.43234,                0.58035,                0.33743,                 1.9184,                    inf,                 1.5005,               0.003466,               0.003466,               0.003466
                     68,                0.96855,                0.65532,                0.93939,                0.58871,                0.43474,                0.57908,                0.33689,                 1.9183,                    inf,                 1.5001,               0.003367,               0.003367,               0.003367
                     69,                0.97497,                0.65474,                0.93922,                0.59858,                0.43026,                0.58024,                0.33777,                 1.9205,                    inf,                 1.5008,               0.003268,               0.003268,               0.003268
                     70,                0.97141,                0.65615,                0.94007,                0.61174,                0.43151,                0.58577,                  0.341,                   1.92,                    inf,                  1.501,               0.003169,               0.003169,               0.003169
                     71,                0.96753,                0.65087,                 0.9376,                0.61702,                0.43126,                0.58742,                0.34233,                 1.9171,                    inf,                 1.4972,                0.00307,                0.00307,                0.00307
                     72,                 0.9599,                0.64751,                0.93637,                0.62109,                0.42917,                0.58809,                0.34341,                 1.9149,                    inf,                 1.4962,               0.002971,               0.002971,               0.002971
                     73,                0.96492,                0.64551,                0.93721,                0.61089,                 0.4286,                0.58457,                0.34088,                 1.9163,                    inf,                 1.4979,               0.002872,               0.002872,               0.002872
                     74,                0.96376,                0.64637,                0.93663,                0.60643,                0.42891,                0.58369,                0.34059,                 1.9152,                    inf,                 1.4974,               0.002773,               0.002773,               0.002773
                     75,                0.95543,                0.64355,                0.93521,                 0.5857,                0.42992,                0.57759,                0.33617,                  1.915,                    inf,                 1.4985,               0.002674,               0.002674,               0.002674
                     76,                0.96439,                0.64577,                0.93544,                0.57742,                0.42939,                0.57468,                0.33423,                 1.9148,                    inf,                 1.4995,               0.002575,               0.002575,               0.002575
                     77,                0.96172,                0.64534,                0.93559,                0.58167,                0.42914,                0.57598,                0.33497,                 1.9159,                    inf,                 1.5001,               0.002476,               0.002476,               0.002476
                     78,                0.95375,                0.63732,                0.93249,                0.59688,                0.42842,                0.58043,                0.33801,                 1.9172,                    inf,                 1.5005,               0.002377,               0.002377,               0.002377
                     79,                0.96192,                0.64039,                0.93506,                0.60725,                0.42871,                0.58374,                0.34012,                 1.9174,                    inf,                 1.5004,               0.002278,               0.002278,               0.002278
                     80,                 0.9573,                0.64212,                0.93566,                 0.6255,                0.42787,                0.58901,                0.34386,                 1.9173,                    inf,                 1.5011,               0.002179,               0.002179,               0.002179
                     81,                 0.9557,                 0.6394,                0.93381,                0.63208,                0.42844,                0.59147,                0.34515,                  1.918,                    inf,                 1.5019,                0.00208,                0.00208,                0.00208
                     82,                0.95146,                0.63499,                0.93207,                0.63465,                0.42744,                0.59157,                 0.3452,                 1.9183,                    inf,                 1.5026,               0.001981,               0.001981,               0.001981
                     83,                0.94845,                0.63085,                0.93155,                0.63102,                 0.4275,                0.59017,                0.34418,                 1.9182,                    inf,                 1.5028,               0.001882,               0.001882,               0.001882
                     84,                0.95502,                0.63534,                0.93342,                0.62369,                0.42575,                0.58672,                0.34194,                  1.919,                    inf,                 1.5037,               0.001783,               0.001783,               0.001783
                     85,                0.94229,                0.63038,                0.93009,                0.61018,                0.42543,                 0.5821,                0.33887,                 1.9191,                    inf,                 1.5037,               0.001684,               0.001684,               0.001684
                     86,                 0.9419,                0.62889,                0.93091,                0.60488,                0.42469,                0.57991,                0.33743,                 1.9192,                    inf,                 1.5041,               0.001585,               0.001585,               0.001585
                     87,                0.94245,                0.62842,                0.93043,                0.60518,                0.42348,                0.57934,                0.33726,                 1.9192,                    inf,                 1.5046,               0.001486,               0.001486,               0.001486
                     88,                0.94115,                0.62693,                0.92928,                0.60878,                0.42259,                0.58001,                0.33791,                 1.9196,                    inf,                 1.5049,               0.001387,               0.001387,               0.001387
                     89,                0.93266,                0.62186,                0.92621,                0.61327,                0.42226,                0.58115,                0.33868,                 1.9194,                    inf,                 1.5049,               0.001288,               0.001288,               0.001288
                     90,                 0.8596,                0.55389,                0.90204,                 0.6098,                0.42266,                 0.5804,                0.33801,                 1.9188,                    inf,                 1.5052,               0.001189,               0.001189,               0.001189
                     91,                0.84425,                0.54281,                0.89874,                0.62103,                 0.4223,                0.58375,                0.34002,                 1.9195,                    inf,                 1.5055,                0.00109,                0.00109,                0.00109
                     92,                0.83906,                0.53813,                0.89793,                0.62968,                0.42105,                0.58584,                0.34148,                 1.9193,                    inf,                 1.5052,               0.000991,               0.000991,               0.000991
                     93,                0.83423,                0.53495,                0.89518,                0.63476,                0.42047,                0.58701,                0.34237,                 1.9191,                    inf,                 1.5052,               0.000892,               0.000892,               0.000892
                     94,                0.83314,                0.53517,                0.89597,                 0.6418,                 0.4196,                0.58879,                0.34346,                 1.9193,                    inf,                 1.5054,               0.000793,               0.000793,               0.000793
                     95,                0.83272,                0.53212,                0.89512,                0.64837,                 0.4186,                0.59031,                0.34468,                 1.9198,                    inf,                 1.5058,               0.000694,               0.000694,               0.000694
                     96,                0.82899,                0.52837,                0.89306,                  0.656,                0.41804,                0.59239,                  0.346,                 1.9202,                    inf,                 1.5064,               0.000595,               0.000595,               0.000595
                     97,                0.82015,                0.52488,                0.89218,                0.66282,                0.41752,                0.59426,                0.34718,                 1.9207,                    inf,                 1.5069,               0.000496,               0.000496,               0.000496
                     98,                0.81884,                0.52172,                0.89014,                0.66728,                0.41665,                0.59517,                0.34806,                 1.9211,                    inf,                 1.5075,               0.000397,               0.000397,               0.000397
                     99,                0.81784,                 0.5208,                0.89068,                0.67166,                0.41584,                0.59607,                0.34875,                 1.9216,                    inf,                 1.5077,               0.000298,               0.000298,               0.000298
