                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.3675,                0.78216,                 1.0379,                0.74048,                0.50225,                0.59452,                0.28017,                 1.9765,                 1.3265,                 1.5195,               0.006898,               0.006898,               0.006898
                     49,                  1.365,                 0.7796,                 1.0376,                0.74193,                0.50073,                0.59399,                0.27987,                 1.9781,                 1.3322,                 1.5207,               0.006832,               0.006832,               0.006832
                     50,                 1.3655,                0.77992,                 1.0374,                0.74062,                0.50181,                0.59405,                0.28028,                 1.9778,                 1.3323,                 1.5207,               0.006766,               0.006766,               0.006766
                     51,                 1.3674,                0.78045,                 1.0352,                0.74036,                0.50162,                0.59341,                 0.2795,                 1.9809,                 1.3326,                 1.5231,                 0.0067,                 0.0067,                 0.0067
                     52,                 1.3675,                0.78108,                 1.0339,                  0.737,                0.49943,                0.59047,                0.27802,                 1.9833,                 1.3372,                 1.5245,               0.006634,               0.006634,               0.006634
                     53,                 1.3659,                0.77997,                 1.0332,                0.73941,                0.49499,                0.58741,                0.27647,                 1.9867,                 1.3442,                 1.5267,               0.006568,               0.006568,               0.006568
                     54,                 1.3646,                0.77951,                 1.0321,                0.73889,                0.49336,                0.58525,                0.27528,                 1.9891,                 1.3468,                 1.5269,               0.006502,               0.006502,               0.006502
                     55,                 1.3641,                0.77968,                 1.0324,                0.73818,                0.49287,                0.58479,                0.27577,                 1.9882,                 1.3447,                 1.5255,               0.006436,               0.006436,               0.006436
                     56,                 1.3616,                0.77803,                 1.0309,                0.73872,                0.49158,                0.58447,                 0.2757,                 1.9902,                  1.344,                 1.5262,                0.00637,                0.00637,                0.00637
                     57,                 1.3592,                0.77658,                 1.0299,                0.73807,                0.48967,                0.58261,                0.27481,                 1.9939,                 1.3476,                 1.5292,               0.006304,               0.006304,               0.006304
                     58,                 1.3588,                0.77529,                 1.0281,                0.73695,                0.49007,                0.58273,                 0.2746,                 1.9998,                 1.3515,                 1.5318,               0.006238,               0.006238,               0.006238
                     59,                 1.3575,                0.77538,                 1.0278,                0.74188,                0.48982,                0.58523,                0.27561,                 2.0027,                 1.3483,                 1.5328,               0.006172,               0.006172,               0.006172
                     60,                 1.3564,                 0.7735,                 1.0275,                0.74526,                0.48942,                0.58618,                0.27655,                 2.0036,                  1.348,                 1.5334,               0.006106,               0.006106,               0.006106
                     61,                 1.3527,                0.77239,                 1.0264,                0.74995,                0.48947,                0.58759,                0.27795,                  2.004,                 1.3484,                  1.534,                0.00604,                0.00604,                0.00604
                     62,                 1.3532,                0.77178,                 1.0272,                0.75307,                0.48782,                0.58716,                 0.2784,                 2.0019,                 1.3486,                 1.5323,               0.005974,               0.005974,               0.005974
                     63,                 1.3518,                0.77087,                 1.0262,                0.75358,                 0.4875,                0.58733,                0.27854,                 2.0009,                 1.3495,                 1.5305,               0.005908,               0.005908,               0.005908
                     64,                 1.3511,                0.76972,                 1.0251,                0.75616,                0.48878,                0.58833,                0.27939,                 1.9987,                 1.3476,                 1.5273,               0.005842,               0.005842,               0.005842
